condition,features,model,n_dim,val_acc_B1,val_mae_B1,val_rmse_B1,val_bias_B1,val_acc_B2,val_mae_B2,val_rmse_B2,val_bias_B2,val_acc_B3,val_mae_B3,val_rmse_B3,val_bias_B3,val_acc_B4,val_mae_B4,val_rmse_B4,val_bias_B4,val_macro,val_mae,val_rmse,val_joint,val_exact,val_total_mae,val_total_rmse,val_total_bias,val_total_acc,test_acc_B1,test_mae_B1,test_rmse_B1,test_bias_B1,test_acc_B2,test_mae_B2,test_rmse_B2,test_bias_B2,test_acc_B3,test_mae_B3,test_rmse_B3,test_bias_B3,test_acc_B4,test_mae_B4,test_rmse_B4,test_bias_B4,test_macro,test_mae,test_rmse,test_joint,test_exact,test_total_mae,test_total_rmse,test_total_bias,test_total_acc
gt,F0,LR,13,1.0,0.07291666666666667,0.27003086243366087,-0.07291666666666667,0.9791666666666666,0.22916666666666666,0.5204164998665332,0.020833333333333332,0.96875,0.4479166666666667,0.7430231041719587,-0.010416666666666666,0.9791666666666666,0.2604166666666667,0.5496210815947049,0.03125,0.9817708333333333,0.2526041666666667,0.5207728870167144,0.9270833333333334,0.3645833333333333,0.8020833333333334,1.1946059322359541,-0.03125,0.8229166666666666,1.0,0.05673758865248227,0.23819653367016547,-0.0425531914893617,0.9929078014184397,0.2127659574468085,0.47639306734033093,0.07092198581560284,0.9148936170212766,0.5957446808510638,0.8751899489873673,-0.0425531914893617,0.9929078014184397,0.24113475177304963,0.5052911526399113,0.0,0.975177304964539,0.276595744680851,0.5237676756594438,0.900709219858156,0.2765957446808511,1.0070921985815602,1.3368747295663836,-0.014184397163120567,0.7659574468085106
gt,F0,SVM,13,1.0,0.0625,0.25,-0.0625,0.9791666666666666,0.23958333333333334,0.5303300858899106,0.010416666666666666,0.9583333333333334,0.4791666666666667,0.7772815877574012,-0.10416666666666667,0.9791666666666666,0.2604166666666667,0.5496210815947049,0.010416666666666666,0.9791666666666666,0.2604166666666667,0.5268081888105042,0.9166666666666666,0.3645833333333333,0.8958333333333334,1.282900359861721,-0.14583333333333334,0.78125,1.0,0.0425531914893617,0.20628424925175867,-0.0425531914893617,0.9858156028368794,0.20567375886524822,0.4837794468468967,-0.02127659574468085,0.9361702127659575,0.5886524822695035,0.8629489272626913,-0.09219858156028368,0.9929078014184397,0.22695035460992907,0.49105473398904287,-0.0425531914893617,0.9787234042553192,0.26595744680851063,0.5110168393375975,0.9148936170212766,0.3120567375886525,0.9361702127659575,1.2882447236783492,-0.19858156028368795,0.7730496453900709
gt,F0,RF,13,0.9791666666666666,0.1875,0.5204164998665332,-0.10416666666666667,0.9791666666666666,0.28125,0.568257570707744,-0.07291666666666667,0.8958333333333334,0.5833333333333334,0.9128709291752769,-0.041666666666666664,0.9895833333333334,0.2604166666666667,0.5303300858899106,0.052083333333333336,0.9609375,0.32812500000000006,0.6329687714098662,0.8645833333333334,0.25,1.0,1.4860462083439174,-0.16666666666666666,0.7708333333333334,0.9858156028368794,0.14893617021276595,0.45351268875881323,-0.06382978723404255,0.9858156028368794,0.24822695035460993,0.5522359450516529,-0.0070921985815602835,0.9078014184397163,0.6950354609929078,0.9821094679780857,0.014184397163120567,0.9574468085106383,0.36879432624113473,0.6737215368532151,-0.07092198581560284,0.9592198581560284,0.36524822695035464,0.6653949096604417,0.8439716312056738,0.2198581560283688,1.148936170212766,1.5889690667333525,-0.1276595744680851,0.6950354609929078
gt,F0,Ridge,13,1.0,0.07291666666666667,0.27003086243366087,-0.07291666666666667,0.9895833333333334,0.20833333333333334,0.47871355387816905,0.020833333333333332,0.96875,0.4479166666666667,0.7430231041719587,-0.010416666666666666,0.9791666666666666,0.23958333333333334,0.5303300858899106,0.010416666666666666,0.984375,0.24218750000000003,0.5055244015934248,0.9375,0.3854166666666667,0.78125,1.1681538140730154,-0.052083333333333336,0.8229166666666666,1.0,0.04964539007092199,0.2228124549277306,-0.04964539007092199,0.9929078014184397,0.22695035460992907,0.49105473398904287,0.07092198581560284,0.9219858156028369,0.5957446808510638,0.8670484701822557,-0.05673758865248227,0.9929078014184397,0.22695035460992907,0.49105473398904287,-0.014184397163120567,0.9769503546099292,0.274822695035461,0.517992598272018,0.9078014184397163,0.2765957446808511,0.9716312056737588,1.312784923481051,-0.04964539007092199,0.7801418439716312
gt,F0,ElasticNet,13,1.0,0.08333333333333333,0.28867513459481287,-0.0625,0.9895833333333334,0.20833333333333334,0.47871355387816905,0.020833333333333332,0.96875,0.4791666666666667,0.7637626158259734,-0.020833333333333332,0.9791666666666666,0.25,0.5400617248673217,0.0,0.984375,0.25520833333333337,0.5178032572915693,0.9375,0.3333333333333333,0.8333333333333334,1.1902380714238083,-0.0625,0.8229166666666666,1.0,0.04964539007092199,0.2228124549277306,-0.04964539007092199,0.9929078014184397,0.22695035460992907,0.5191373094849674,0.0425531914893617,0.9361702127659575,0.6028368794326241,0.8546908528238203,-0.06382978723404255,0.9929078014184397,0.22695035460992907,0.49105473398904287,-0.028368794326241134,0.9804964539007093,0.276595744680851,0.5219238378063903,0.9219858156028369,0.2553191489361702,0.9787234042553191,1.2937383295118943,-0.09929078014184398,0.7801418439716312
gt,F0+conf,LR,33,1.0,0.0625,0.25,-0.0625,0.9791666666666666,0.23958333333333334,0.5303300858899106,0.03125,0.96875,0.4479166666666667,0.7430231041719587,-0.03125,0.9791666666666666,0.2604166666666667,0.5496210815947049,0.010416666666666666,0.9817708333333333,0.2526041666666667,0.5182435679141435,0.9270833333333334,0.3645833333333333,0.8229166666666666,1.2119199643540823,-0.052083333333333336,0.8125,1.0,0.04964539007092199,0.2228124549277306,-0.03546099290780142,0.9929078014184397,0.2127659574468085,0.47639306734033093,0.07092198581560284,0.9219858156028369,0.6028368794326241,0.8711287208139509,-0.07801418439716312,0.9929078014184397,0.2624113475177305,0.5259237061407777,0.0070921985815602835,0.9769503546099292,0.28191489361702127,0.5240644873056975,0.9078014184397163,0.2553191489361702,1.0141843971631206,1.3235456356489526,-0.03546099290780142,0.7588652482269503
gt,F0+conf,SVM,33,1.0,0.10416666666666667,0.3227486121839514,-0.041666666666666664,0.96875,0.25,0.5590169943749475,-0.020833333333333332,0.9583333333333334,0.46875,0.7971302695712079,-0.09375,0.9583333333333334,0.28125,0.60380736442456,-0.03125,0.9713541666666667,0.2760416666666667,0.5706758101386666,0.8854166666666666,0.3125,1.0208333333333333,1.4142135623730951,-0.1875,0.7395833333333334,0.9929078014184397,0.04964539007092199,0.25264557631995566,-0.03546099290780142,0.9858156028368794,0.20567375886524822,0.5122610150282085,-0.04964539007092199,0.9361702127659575,0.6028368794326241,0.8711287208139509,-0.07801418439716312,0.9716312056737588,0.28368794326241137,0.641363795151002,-0.11347517730496454,0.9716312056737588,0.2854609929078014,0.5693497768282793,0.8936170212765957,0.3049645390070922,0.9858156028368794,1.401620136517808,-0.2765957446808511,0.7801418439716312
gt,F0+conf,RF,33,0.9791666666666666,0.19791666666666666,0.5303300858899106,-0.07291666666666667,0.9791666666666666,0.3020833333333333,0.5863019699779287,-0.052083333333333336,0.8958333333333334,0.5729166666666666,0.9071475440448851,-0.052083333333333336,0.9895833333333334,0.2604166666666667,0.5303300858899106,0.07291666666666667,0.9609375,0.3333333333333333,0.6385274214506587,0.8645833333333334,0.22916666666666666,1.0625,1.4930394055974097,-0.10416666666666667,0.7395833333333334,0.9858156028368794,0.15602836879432624,0.46126560401444255,-0.07092198581560284,0.9858156028368794,0.24822695035460993,0.5522359450516529,-0.0070921985815602835,0.900709219858156,0.6808510638297872,0.9675588936937934,0.0,0.9645390070921985,0.3617021276595745,0.6577416768573946,-0.07801418439716312,0.9592198581560284,0.3617021276595745,0.6597005299043209,0.8439716312056738,0.22695035460992907,1.1347517730496455,1.5574119284549022,-0.15602836879432624,0.7092198581560284
gt,F0+conf,Ridge,33,1.0,0.0625,0.25,-0.0625,0.9791666666666666,0.23958333333333334,0.5303300858899106,0.03125,0.96875,0.4479166666666667,0.7430231041719587,-0.03125,0.9791666666666666,0.2604166666666667,0.5496210815947049,0.010416666666666666,0.9817708333333333,0.2526041666666667,0.5182435679141435,0.9270833333333334,0.3645833333333333,0.8229166666666666,1.2119199643540823,-0.052083333333333336,0.8125,1.0,0.04964539007092199,0.2228124549277306,-0.03546099290780142,0.9929078014184397,0.2127659574468085,0.47639306734033093,0.07092198581560284,0.9219858156028369,0.5886524822695035,0.8629489272626913,-0.09219858156028368,0.9929078014184397,0.2624113475177305,0.5259237061407777,0.0070921985815602835,0.9769503546099292,0.2783687943262411,0.5220195389178827,0.9078014184397163,0.2695035460992908,1.0,1.3181762600207414,-0.04964539007092199,0.7588652482269503
gt,F0+conf,ElasticNet,33,1.0,0.10416666666666667,0.3227486121839514,-0.0625,0.9895833333333334,0.21875,0.48947250518628044,0.010416666666666666,0.9583333333333334,0.5,0.7905694150420949,-0.020833333333333332,0.9791666666666666,0.25,0.5400617248673217,0.0,0.9817708333333334,0.2682291666666667,0.5357130643199122,0.9270833333333334,0.3125,0.8229166666666666,1.1858541225631423,-0.07291666666666667,0.8229166666666666,1.0,0.05673758865248227,0.23819653367016547,-0.0425531914893617,0.9929078014184397,0.2127659574468085,0.5052911526399113,0.028368794326241134,0.9290780141843972,0.6170212765957447,0.8872621047656614,-0.04964539007092199,0.9858156028368794,0.23404255319148937,0.5122610150282085,-0.04964539007092199,0.9769503546099292,0.2801418439716312,0.5357527015259866,0.9078014184397163,0.28368794326241137,0.9787234042553191,1.3368747295663836,-0.11347517730496454,0.7588652482269503
